,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
0,Sourav Ganguly,10,12,2,0,12,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",83.33
1,Brendon McCullum,158,73,10,13,216,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",216.44
2,Ricky Ponting,20,20,1,1,23,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",100.0
3,David Hussey,12,12,1,0,13,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",100.0
4,Mohammad Hafeez,5,3,1,0,6,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",166.67
5,Rahul Dravid,2,3,0,0,2,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",66.67
6,Wasim Jaffer,6,16,0,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",37.5
7,Virat Kohli,1,5,0,0,-5,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",20.0
8,Jacques Kallis,8,7,0,1,10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",114.29
9,Cameron White,6,10,0,0,6,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",60.0
10,Mark Boucher,7,9,1,0,8,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",77.78
11,Balachandra Akhil,0,2,0,0,-2,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",0.0
12,Ashley Noffke,9,10,1,0,10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",90.0
13,Praveen Kumar,18,15,1,2,23,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",120.0
14,Zaheer Khan,3,8,0,0,-3,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",37.5
15,Sunil Joshi,3,6,0,0,3,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",50.0
16,Parthiv Patel,15,10,3,0,18,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",150.0
17,Matthew Hayden,25,17,4,1,31,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",147.06
18,Michael Hussey,116,54,8,9,164,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",214.81
19,MS Dhoni,2,3,0,0,2,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",66.67
20,Suresh Raina,32,13,2,3,46,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",246.15
21,Jacob Oram,13,10,0,1,15,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",130.0
22,S Badrinath,31,14,3,2,44,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",221.43
23,Karan Goel,24,19,2,1,28,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",126.32
24,James Hopes,71,33,10,3,93,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",215.15
25,Kumar Sangakkara,54,33,5,2,63,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",163.64
26,Yuvraj Singh,23,13,1,2,34,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",176.92
27,Simon Katich,21,17,0,1,23,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",123.53
28,Irfan Pathan,3,5,0,0,3,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",60.0
29,Taruwar Kohli,7,12,0,1,9,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",58.33
30,Yusuf Pathan,10,5,2,0,18,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",200.0
31,Shane Watson,21,15,4,0,25,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",140.0
32,Mohammad Kaif,9,19,0,0,3,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",47.37
33,Darren Lehmann,1,2,0,0,1,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",50.0
34,Ravindra Jadeja,29,23,2,2,35,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",126.09
35,Mahesh Rawat,2,4,0,0,2,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",50.0
36,Dinesh Salunkhe,26,20,4,0,30,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",130.0
37,Shane Warne,14,13,2,0,16,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",107.69
38,Siddharth Trivedi,3,7,0,0,-3,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",42.86
39,Gautam Gambhir,58,46,7,1,67,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",126.09
40,Virender Sehwag,12,4,3,0,21,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",300.0
41,Shikhar Dhawan,52,41,8,0,60,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",126.83
